hash,string,length,frequency,field_count
df507bf1bed4efa3b8f1fb6e6063c81e,"Washington, DC: 1946",20,2,2
95e797fe8fb49d3020243e2c33c41336,"London: Printed for Charles Green, and are to be sold at his shop in Ivie Lane, at the signe of the Gun, 1646",109,2,2
5608ebb46ab8be75507e97cae52e1e62,"London: Tate Gallery for the Yale Center for British Art, 1981",62,2,2
813b8cbdc8c8b8649713e712429e07f8,"Hamburg: Lit, 1998",18,2,2
a629ee6ed8ac9d059e66411b540514f8,"London: printed for the author; and sold by John and Francis Rivington; J. Whiston, W. Strahan, J. Hinton, L. Hawes and W. Clarke and R. Collins [and 11 others in London], 1771 The sixth edition, corrected and much enlarged",223,2,2
57028e5ef85200fa6f388a4ad0556b52,"London: printed for the author; and sold by C. Rivington, 1740",62,2,2
1771d6039f99ee3dae526f4748ea26b4,"Bordeaux-Le-Bouscat: L'Esprit du temps, c1997",45,2,2
5a9ecdfa930c92a18719c21fe273befb,"Madrid: Torremozas, 2000 Ed. bilingüe, 1a ed.",46,2,2
2391cd3ed90aa9efa2647bfa100db7a2,"[Leicester]: Offcut Private Press, June 26th, 1972",50,2,2
eef4bdb9e365e8dbd4b3202d0a2a108,"Washington, DC: 1935",20,2,2
6b69ec125a2a525aa5f89d2b0bb8a034,"Tianjin Shi: Tianjin ren min chu ban she, Xin hua shu dian Tianjin fa xing suo fa xing, 1988 天津市: 天津人民出版社, 新华书店天津发行所发行, 1988 Di 1 ban 第1版",137,2,2
e6a1d6f4469683003e8ea8c7e7af1fbc,"[Los Angeles]: Bede Press, [1968] 1st U.S. ed",45,2,2
61bff9b6a3b72ea0282cbac3ddf77139,"London: Printed for J. Johnson, No. 72, St. Paul's Church-yard, MDCCXCI [1791]",78,2,2
79ef7f887e87e23220c1d64c982ef3d4,"Taibei Shi: Yuan liu chu ban shi ye gu fen you xian gong si, fa xing Xin bao gu fen you xian gong si, 1991 臺北市: 遠流出版事業股份有限公司, 發行信報股份有限公司, 1991",142,2,2
3bb9ccaf832f1dbc4413f3f006e0bdb7,"[Paris]: Hazan, c1998",21,2,2
8322fc7c3d037c663834a912766f8365,"London; New York: J. Lane, Bodley Head Toronto: Bell & Cockburn, 1914 Edinburgh: Ballantyne, Hanson & Co",104,2,2
24c0ec67f9f3cc9040cde337ec376702,"London: Longmans, Green and Co, (Spottiswoode and Co.), 1865",60,2,2
3fd9178f9dd075cc94ec8b1402db342,"London: Printed for Thomas Bassett at the George in Fleetstreet, Dorman Newman at the Kings Arms, and Thomas Cockerill at the Three Legs in the Poultery, MDCLXXXVII [1687] 2nd ed.",179,2,2
a65b60b9b2d17410b8cc1558454c61b3,"[Place of publication not identified]: MUSEEC, medici.tv, 20190627",66,2,2
b1e86f42f46bf136904a281df71dea37,"[Baltimore, Md.]: Baltimore patriot office, 1827",48,2,2
fa140da99394168a778d7e5d3acebd58,"Paris: Garnier frères, 1865",28,2,2
e8ad4c278e3c0a7cdbe8a4cf6c211df6,"New York: C.F. Peters, c1991",28,2,2
9bfc7ff7660feb6e057989b4320f6918,"New York City: International Music Company, [1949]",50,2,2
2cbcdbc91411632f98af3c7a6cee2393,"New York: C.F. Peters, c1992",28,2,2
59a8c174a1af8fcccd1e3fe42137a3e,"Norwich [Conn]: Printed by John Trumbull, and sold by the gross, dozen or single. Where may be had sheet almanacks, [1789]",122,2,2
2cd437ff5c766aeb7f7f4bb175a882b9,"London: Printed for John Bell, near Exeter-Exchange, in the Strand, and C. Etherington, at York, MDCCLXXVI. [1776] Bell's edition",129,2,2
5328353947e21952ba7e185a468286f,"London: Simpkin Marshall, [1840]",32,2,2
df937bca2ba8e70fb4d2318f40316636,"Beijing: Beijing guang bo xue yuan chu ban she, 1992 北京: 北京广播学院出版社, 1992 Di 1 ban 第1版",85,2,2
3480b70d810555618004760f78bd84f3,"London: Printed for the author, and sold by G. Burnett [etc.], 1778",67,2,2
2300ec1f2b39ab2395587efd44dd204b,"New York; Detroit: Jerome H. Remick & Co, c1913",47,2,2
f5909a7978bcbcde74c161b3b0e612a,"Xi'an: San Qin chu ban she 西安: 三秦出版社 [Peking]: Xin hua shu dian Beijing fa xing suo fa xing, 1988 [Peking]: 新华书店北京发行所发行, 1988 Di 1 ban 第1版",138,2,2
a046fde84f5646bf2804d7245295b1a3,"Taibei Shi: Song gao shu she, Minguo 74 [1985] 台北市: 崧高書社, 民國74 [1985]",69,2,2
1c1ac5a54223d510e121a62ec2b8ec3c,"[Chicago]: [Geo. M. Hill Co], [1899]",36,2,2
5c783df6c7dd20e05e59c10790ef0b00,"[Tucson, Ariz.]: Arizona University Recordings, [2010]",54,2,2
58dbb0e867d829ee39fc4bae93c0da4a,"Fayetteville, AR: Classical Vocal Reprints, [2021]",50,2,2
ac72e8b96fcef0f56f0013fc51568686,"Washington, DC: 1955",20,2,2
6b7baa041eb2fe4386bf0aea19e3c6fb,"London: Hodder and Stoughton, 1935",34,2,2
10d3d945f4a146fa3e38c29f6d9df2e0,"Lugduni: Apud Seb. Gryphium, 1539",33,2,2
7634a2b45a488a98c33c5232e71572dc,"Heidelberg: Winter, 1915",24,2,2
4c86b4d366984438b578c3ba80ad8a8c,"[Hamburg]: Deutsche Grammophon, p1988",37,2,2
cf45ade701b4f1615ffcbb8fbc526522,"London; New York: London Printing and Publishing Company, Limited, [18--]",73,2,2
5f32e18bd00a74609ee9aa0982085141,"Washington, DC: 1941",20,2,2
40868b4c3d8ccac606b8159b55cfc552,"London: Phaidon, 2000",21,2,2
fa62eeb7590837c52e6391448eac714e,"New York; London: G.P. Putnam's Sons, The Knickerbocker Press, [1906?] Author's autograph ed.",93,2,2
97369f576f9a9383634af5de159b8845,"New York: Gilberton Company, 1948, [i.e. 1951?]",47,2,2
c7b19f0878581b9fee310dd7dcb3aed1,"London: Printed for J. Wilkie in St. Paul's Church-yard; and T. Evans in the Strand, MDCCLXXVII. [1777] The twenty-third edition",128,2,2
3f3d88ddec86525e708177f44324339a,"Boston: Heintzemann, 1890",25,2,2
9b122e19c67c2f4a9e8a2c2cbdd84b8c,"Berlin, Leipzig: Schuster & Loeffler, 1902",42,2,2
84441ad308b13ac72d489563b85806ee,"London: Printed for T. Cadell, 1777 The second edition",54,2,2
2c3f63f55267b1e5425d7cf84dad2ed3,"London: G. Kearsly, 1762",24,2,2
f1ddecb706dd327b814d358106623173,"London: Printed for John Morphew ..., 1717",42,2,2
ed0ffe70ea56401897c195c09f62f94d,"New-York--: M.DCC.XCIV.--Printed by Thomas Greenleaf, for the author.--, [1794]",79,2,2
cb7b2b32b0f7f45cb49104db1c2207c5,"London: André Deutsch, 1980",28,2,2
8ad3764b7ff52e7816b0c6cafff2bb02,"Great Barrington, Mass: SteinerBooks, c2007",43,2,2
27d8b678ae56a0905404a5809123e00f,"Printed at London: By T. Cotes, for Peter Whaly, dwelling in North-Hampton, 1630",80,2,2
