hash,string,length,frequency,field_count
c42342033726a947ee59eb18dd29a889,"Verse drama, English--Great Britain--Early works to 1800",56,2,2
8f682b90c0279440ff220f838bd8de88,"Literature--History and criticism; Gay men--Social life and customs; Gay men--Intellectual life; White, Edmund, 1940--Ownership",127,2,2
4109ea57ece67c2c3785f64f331ee524,"Sima, Qian, approximately 145 B.C.-approximately 86 B.C. Shi ji; 司马遷, a. 145-ca. 86 B.C. 史记; China--History--To 221 B.C; China--History--Qin dynasty, 221-207 B.C; China--History--Han dynasty, 202 B.C.-220 A.D",208,2,2
e0dc3ce449785dd8b5bdfb39d6a757e7,"Clothing & dress; Harpsichords; Interiors; Merchants; Musicians; Rake's progress; Servants; Tailors; Young adults; Satires (Visual works)--England--1735; Engravings--England--London--1735; Etchings--England--London--1735; Steevens, George, 1736-1800--Ownership; Perrins, Charles William Dyson, 1864-1958--Ownership",314,2,2
320b429f32ac988e1d660b52c217d48b,"Frost, Robert, 1874-1963--Autograph; Tinker, Chauncey Brewster, 1876-1963--Bookplate; Davison, Edward Lewis, 1898---Autograph; Davison, Edward Lewis, 1898---Ms. notes; Annotations (Provenance)--20th century",206,2,2
532203daee857722732940508449f097,"Cooper, James Fenimore, 1789-1851--Criticism and interpretation--Periodicals; Cooper, James Fenimore, 1789-1851; Cooper, James Fenimore 1789-1851; Cooper, James Fenimore--Schriftenreihe; Cooper, James Fenimore--Rezeption--Schriftenreihe; 1783-1850; American literature--1783-1850--Periodicals",292,2,2
51d78c2bd85cabaca0049264a5615a85,"United Church of England and Ireland--Sermons; Sermons, English--19th century; Coleridge, John Taylor, Sir, 1790-1876--Autograph; Coleridge family--Ownership",157,2,2
ccbee3738a99327f13fc5f2e0d522e05,"Pharsalus, Battle of, Farsala, Greece, 48 B.C.; Rome--History--Civil War, 49-45 B.C; Casa de Azevedo--Stamp",107,2,2
c3416044f2d5dceba40b03954a84e11d,"Cooper, James Fenimore, 1789-1851--Adaptations; New York (State)--History--Revolution, 1775-1783--Fiction--Comic books, strips, etc; Comic books--New York (State)--New York--1951",178,2,2
85fb438ece6c3948b4f0e21f38b9b69d,"Sheridan, Richard Brinsley, 1751-1816--POlitical activity; Sheridan, Richard Brinsley, 1751-1816--Political and social views; Politics and literature--Great Britain--History--18th century",187,2,2
e383a2792b44fc0b1fa598c6739e5698,"Laud, William, 1573-1645--Bibliography",38,2,2
7c801eeef513647446ce1c37004a642d,"Hoadly, Benjamin, 1676-1761. Nature of the kingdom or church of Christ; Hoadly, Benjamin, 1676-1761. Preservative against the principles and practices of the nonjurors both in church and state; Authority--Religious aspects--Early works to 1800; Church of England--Government; Anglican Communion--Great Britain--Government--Early works to 1800",342,2,2
a43a56affd044cd07f22e32b6ecd66e7,"Sima, Qian, approximately 145 B.C.-approximately 86 B.C. Shi ji; 司馬遷, approximately 145 B.C.-approximately 86 B.C. 史記．; China--History--To 221 B.C; China--History--Qin dynasty, 221-207 B.C; China--History--Han dynasty, 201 B.C.-220 A.D",235,2,2
d43f7c0fbb525da5ff1d0a5524960bf0,"Historians--China--Biography; Sima, Qian, approximately 145 B.C.-approximately 86 B.C. Shi ji; 司马迁, approximately 145 B.C.-approximately 86 B.C. 史记．",148,2,2
23ac76158d2ce8aa0133f2fcad4a0a95,"Speeches, addresses, etc., American.; Chamberlain, Jacob Chester, 1860-1905--Bookplate; Aldis, Owen Franklin, 1852-1925--Bookplate; Everett, Edward, 1794-1865--Presentation inscription from",189,2,2
a3f55a677dec925b8b205fd49b3caeb2,"Strauss, Richard, 1864-1949. Frau ohne Schatten; Frau ohne Schatten (Strauss, Richard)",86,2,2
db44c8d8c536ba298deeedbdbe9a3f6c,"Zhu, Xi, 1130-1200--Philosophy; 朱熹, 1130-1200--Philosophy; Zhong yong; Philosophy, Confucian; Confucianism; Philosophy",118,2,2
34e49d36552b965c7296d591e175924e,"Cooper, James Fenimore, 1789-1851--Ms. notes",44,2,2
345ae2c646da6deede694eb06dfea471,"Sima, Qian, approximately 145 B.C.-approximately 86 B.C. Shi ji; 司马迁, approximately 145 B.C.-approximately 86 B.C. 史记; China--History--To 221 B.C; China--History--Qin dynasty, 221-207 B.C; China--History--Han dynasty, 202 B.C.-220 A.D",234,2,2
6f54f53e927ea32b75a39834e4bd52e5,"Hogarth, William, 1697-1764--Criticism and interpretation; Painting, British--17th century; Painting, Modern--18th century; England--Social life and customs",156,2,2
6452aaaf541dc506dde01cce8e8226d8,"Sonatas (Cello and piano); Cello and piano music, Arranged",58,2,2
7f1249dffa3eb320d919d476060cf1b0,"Walpole, Horace, 1717-1797--Ms. notes",37,2,2
2176cb29cf457a06eece73e7fab5284,"Wagner, Richard, 1813-1883; Strauss, Richard; Wagner, Richard",61,2,2
4b62480c8acc8d30055151a6bd2d1653,Anthroposophy; Spiritual life,29,2,2
f65cdb3bdf49089273ab2cf2c870568f,"Berry, Agnes, 1764-1852--Correspondence; Berry, Mary, 1763-1852--Correspondence; England--Social life and customs",113,2,2
1949cd7d8471842f289f03a620bd2129,"Baum, L. Frank (Lyman Frank)--Musical settings; Songs with piano",64,2,2
2802af5ead46026f912d52dde702d05b,Violin and piano music; Rondos (Violin and piano),49,2,2
fa2b82666ae9101c2eedd6ba64b747be,"Baum, L. Frank (Lyman Frank), 1856-1919. Father Goose, his book",63,2,2
e85fac93581bc1426fe285f914481e81,"Lucan, 39-65. Pharsalia; Lucan, 39-65--Influence; Rome--History--Civil War, 49-45 B.C.--Literature and the war; Civil war in literature; Epic poetry, Latin--History and criticism",178,2,2
73c2ad605f70fd924f1520f2f8d4df82,"Piano music; Piano music, Arranged; Operas--Excerpts, Arranged",62,2,2
bb8bec525a01fa9c8971c15ed81800bd,Calculus,8,2,2
f847c52bac82df4bc0260c1fc825486a,"Frazier, Rezin; Sturges, Solomon; Bounties, Military; Land claims; Land grants; Pre-emption rights; Public land sales; Zanesville, Ohio",135,2,2
99c0b2aa3efb3001c557f5337a7180f4,AIX (Computer file); Operating systems (Computers),50,2,2
82175a3603973da06ca71c4028bda118,Algebra,7,2,2
5f215a9528ce2557fc441f2ecdfe1304,English drama (Tragedy)--Great Britain--18th century,52,2,2
833df1acc69abbe07518c9a13b1dfa14,"Child laborers; Criminals; Dogs; Fires; Gambling; Gamblers; Rake's progress; Usury; Satires (Visual works)--England--1735; Engravings--England--London--1735; Etchings--England--London--1735; Steevens, George, 1736-1800--Ownership; Perrins, Charles William Dyson, 1864-1958--Ownership; Greenberg, Richard--Ownership",314,2,2
decec542aad167e5369125012ef532a8,"Butler, Samuel, 1612-1680. Hudibras--Illustrations; Puritans--England; Great Britain--History--Puritan Revolution, 1642-1660--Humor--Early works to 1800; Blacks--England; Interiors; Legislative bodies; Satires (Visual works)--England--1726; Engravings--England--London--1768; Etchings--England--London--1726; Sotheby, Frederick Edward, 1837-1909--Ownership; Steevens, George, 1736-1800--Ownership; Perrins, Charles William Dyson, 1864-1958--Ownership",450,2,2
837bacd5b86d1eff870507a619af3b06,"Charteris, Francis, 1675-1732; Prostitution; Carriages & coaches; City & town life; Clegy; Horses; Lust; Parables; Prostitutes; Signs (Notices); Taverns (Inns); Young adults; Satires (Visual works)--England--1732; Engravings--England--London--1732; Etchings--England--London--1732; Kinnaird, Charles Kinnaird, Baron, 1780-1826--Ownership; Steevens, George, 1736-1800--Ownership; Perrins, Charles William Dyson, 1864-1958--Ownership; Greenberg, Richard--Ownership",462,2,2
373ae5fbd61dd18e340a2d9025c08781,"Hai, Rui, 1514-1587--Drama; Epic literature, Chinese--Translations into English",79,2,2
17fddb5f5b2ad6ce9ee533b25e19e115,"Ming Taizu, Emperor of China 1328-1398; 明太祖, Emperor of China 1328-1398; China--Kings and rulers--Biography",107,2,2
34aa50a844687b326ed7d4d7a7ef24b4,"String quintets (Violins (2), viola, cellos (2))",48,2,2
fb71926b4b86a96ddc1d910f955045a3,"Poetry, Modern--History and criticism; Brazilian poetry--20th century--History and criticism",92,2,2
d83b271a77304c3d063cedd0fe0ecc6c,Claims; Disabled veterans; Military pensions; War of 1812 (1812-1815),69,2,2
e24c4f8cef26a1ae67636d176a8ff989,"Clay, Henry, 1777-1852--Death and burial; United States--Politics and government--1815-1861; Kentucky--History",110,2,2
